Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
fake,Information/Guides,WHERE TO BUY DUMPS CVVs BINS,I WILL TEEL YOU WHERE TO BUY DUMPS CVVs BINS AND PAY WITH BITCOIN,0.030206350932203387 BTC,,,4.782/5,
fake,Information/Guides,How use 201 dumps in Chip Country,How use 201 dumps in Chip Country  TUTORIAL,0.02796571441176471 BTC,,,4.782/5,
funnyreeferman,Information/Guides,5 Ways to Cash out BTC,Get here a set of 5 different ways to Cash out Credit Card  pay pal western Union to Bitcoins.  Working Methods.  Must have if you want to start out in Carding  Get all for only 50$  Plus you ...,0.1248514246153846 BTC,Internet,,4.87/5,
passman,Information/Guides,Double Your Money With Paypal Scam + Bonus Ebooks,FIRST 3 BUYERS WILL RECEIVE BOOKS ON HOW TO SCAM EBAY SELLERS AND GET ITEMS FOR FREE (2 EXTRA EBOOKS)   PAYPAL SCAM GUIDE . PDF E-BOOK  HOW TO FUCK PAYPAL  MAKE DIRTY JOBS  SCAMS   FRAUDS  CON ...,0.06222628522727275 BTC,,,4.946/5,
fake,Information/Guides,HOW TO FIND ANYTHING ON GOOGLE,What You Will Learn... • how to use Google to find sources of personal information and other confidential data  • how to find information about vulnerable systems and Web services  • how to loca ...,0.029626819067796597 BTC,,,4.782/5,
passman,Information/Guides,Get ANY Apple product for free!,This is a guide for getting apple products for free. It is a unburnt scam and works 95% of the time if done right. I have completely rewritten this with clearer details and more in depth into thing ...,0.09867568900763354 BTC,,,4.946/5,
fake,Information/Guides,Avoiding Camera Noise Signatures,If you take enough images with your digital camera  they can all be compared together and a unique signature can be determined. This means that even when you think that you are posting a photo anony ...,0.03269084352459017 BTC,,,4.782/5,
passman,Information/Guides,Sim Card Cashout Method,This is a new and noob friendly cashout method. Not included in any of my other cashout collection. This is a unique method.  If you have any question feel free to ask and also check out my other  ...,0.015344715036496346 BTC,,,4.946/5,
passman,Information/Guides,How To Get Your Own USA Bank Account + ATM Visa Prepaid Debit Card,THIS IS A GUIDE   I'M NOT SELLIG THE BANK ACCOUNT BUT I'LL TEACH YOU HOW TO Get your Own USA Bank Account + ATM Visa prepaid Debit card   Non US Residents can apply ! No SSN required !   Feat ...,0.062486029925373124 BTC,,,4.946/5,
passman,Information/Guides,Online Poker Cashout Method,Tutorial  Acquiring the cards is the easy part  the most difficult part is turning someone else money in to your money.  It is very difficult to find really good methods  they ''burn'' very quick ...,0.031212509328358208 BTC,,,4.946/5,
KryptykOG,Information/Guides,Tutorial To Get Free Anonymous Polish IBAN + VCCs,Automatically pay 5 PLN when you load the card. Extremely cheap and easy. Simple guide!,0.02000000000000001 BTC,Torland,,4.93/5,
fake,Information/Guides,CREATE HIGH CREDIT SCORE GHOSTS IN BOREAUS SYSTEMS,In this guide an incredibly powerful method anyone can use to create ghost credit profiles in the credit bureaus systems. Ghost profiles? Why would I want anything to do with that? Well  imagine b ...,0.11027593070866144 BTC,,,4.782/5,
passman,Information/Guides,Anything Free From Microsoft,This is a serial generator program. Great way to get free microsoft products such as an Xbox One.,0.06277349848484848 BTC,,,4.946/5,
fake,Information/Guides,CARDING BILL ME LATER,what is Bill Me Later? Here are a few facts: -Bill Me Later is a pay as you go (or as your target goes lol) method of paying for online goods by opening a new line of credit. -It is similar to a c ...,0.02985487034782608 BTC,,,4.782/5,
fake,Information/Guides,FREE VPN FOREVER,HOW TO OBTAIN AND USE A FREE OFFSHORE VPN FOREVER,0.03269720075000001 BTC,,,4.782/5,
fake,Information/Guides,find out if BIN is blocked in your region,find out if BIN is blocked in your region  TUTORIAL,0.01632312650406504 BTC,,,4.782/5,
ALL_IN_ONE,Information/Guides,Easy PGP Tutorial Full Walkthrough And Apps,Become A Master at pgp. With my tutorial you will learn all the aspects Of PGP  all the vocabulary and ins and outs of encrypting/decrypting msgs. Any questions you have you can ask me and ill walk  ...,0.0289739652 BTC,,,4.41/5,
businessdude,Information/Guides,How To Travel The World Without A Passport,How to travel anonymously throughout Europe  the USA  Canada  Mexico  the Middle East  Baltic Republics  Asia and more without ever meeting a customs officer or border patrol!  The secret country t ...,0.033277473813559305 BTC,,,4.88/5,
fake,Information/Guides,THE BIG BOOK OF MISCHIEF,THE BIG BOOK OF MISCHIEF   Table of Contents 1 - SAFETY Basic Safety Rules How To Mix Dry Ingredients 2 - BUYING EXPLOSIVES AND PROPELLANTS 2.1 Propellants 2.2 Explosives 3 - PREPARATION OF ...,0.015579129055118105 BTC,,,4.782/5,
fake,Information/Guides,TRAVEL GHOST . travel without ID,Travel Ghost - How To Travel The World Without A Passport Or Any ID.   Can you imagine traveling the planet without ever needing to go through customs  stand in queues at the airport  or even havin ...,0.031092159384615375 BTC,,,4.782/5,
FakeMarket,Information/Guides,Hundred Ways To Disappear And Live Free PDF,"100 Ways To Disappear And Live Free  INTRODUCTION To ""live free"" means to be able to control your own life and to avoid violence  or the threat of violence  by others. What you do and how you do i ...",0.027206474673913038 BTC,Torland,,4.96/5,
fake,Information/Guides,FIND ONLINE POKER CHEATERS,The Definitive Guide to Online Poker Cheating  how to know what peoples are cheating,0.028340137131782944 BTC,,,4.782/5,
fake,Information/Guides,Pass Marijuana Urine Test,Tricks to Pass Marijuana Urine Test In this pdf we're going to tell you how you how you can try to clean up your act from the inside out so your test stands a better chance of coming out clean. And ...,0.018563724140625 BTC,,,4.782/5,
fake,Information/Guides,TRACK2 Full Specification,TRACK2 Full Specification,0.018632308167938923 BTC,,,4.782/5,
RastainPeace,Information/Guides,DO IT YOURSELF ULTIMATE HOMEMADE BUILDING TOOLS GUIDE,Selection of files explaining how to build costumized homemade weapons  create  poisons from scratch  preparation of drugs drugs  how to make your costum keylogger  and many other things. A package  ...,0.02102436694915255 BTC,World,,4.94/5,
Hackyboy,Information/Guides,Anything get free on Amazon,100% working method to get anything free on Amazon and double your money.  Works worlwide.  Easy guide  no carding method.,0.039368964743589724 BTC,EU,,4.92/5,
secretsquirrel2,Information/Guides,The Joint Rolling Handbook,The best book I have on rolling the perfect joint  with pictures and step by step instructions  Impress your friend's with your rolling abillitys!!,0.00415549 BTC,Torland,,~5/5,
fake,Information/Guides,Anti-Forensics – Leave No Trace,Anti-Forensics – Leave No Trace The average personal computer is a security nightmare  but what if I were to tell you there was a way around this  a way to make Windows secure? VPNs  proxies  and  ...,0.024657131085271324 BTC,,,4.782/5,
fake,Information/Guides,CHAIN SOCKS AFTER TOR EXIT NODE,Chaining socks after tor    TUTORIAL,0.018673396769230778 BTC,,,4.782/5,
Hackyboy,Information/Guides,HOW CASHOUT PAYPAL 2014 : BIG PACK,BIG PACK TO CASHOUT PAYPAL  INCLUDES :   - 3 ways to cashout Paypal - How cashout PP - Paypal cashout 1 & 2 - Paypal Stealth - Unlimited Stealth Paypal Accounts and How to Withdraw Guide - E ...,0.11251250698113205 BTC,Torland,,4.92/5,
fake,Information/Guides,How To Crack WEP,How To Crack WEP In Linux  +  How to Crack a WEP Encrypted Wireless Network on Windows Vista  +   How To Crack A Router For Username and Password,0.015580428217054267 BTC,,,4.782/5,
Hackyboy,Information/Guides,How Transfer Balance from Hacked PayPal,I teach you how to send hacked PayPal balance from one account to another without any hassle in confirming credit card number  bank account number  SSN number or security answers!,0.038862095915492965 BTC,Torland,,4.92/5,
fake,Information/Guides,Defeating Forensic Analysis on Unix,Defeating Forensic Analysis on Unix  TUTORIAL   | --[ Contents 1 - Introduction 1.1 - Generic Unix File Systems 1.2 - Forensics 2 - Anti-Forensics 3 - Runefs 3.1 - Creating hidden space  ...,0.02500649242424245 BTC,,,4.782/5,
Hackyboy,Information/Guides,Trouver des sites a carder : french guide,Astuces pour trouver des sites valides avec peu de sécurités et peu utilisés par les carders pour faire des achats avec des cc hackees,0.05401586423728815 BTC,,,4.92/5,
Hackyboy,Information/Guides,Turn any LINUX into proxy socks5,Explain how you can turn any Linux  computer into a SOCKS5 (and SOCKS4) proxy in just one command.,0.024505638846153838 BTC,,,4.92/5,
Hackyboy,Information/Guides,Bank Transfers Tutorial,The first thing you are going to need is banking credentials of some sort. The information you need will be different for each bank and depend on how your doing the transfers if by phone or online s ...,0.024972806933333327 BTC,,,4.92/5,
RastainPeace,Information/Guides,HOW TO BE SAFE AND ANONYMOUS ONLINE,AVOID GETTING CAUGHT FOR STUPID DISTRACTION WHILST YOU DO YOUR THINGS ON THE WEB. THIS GUIDE WILL TELL YOU BASICALLY EVERYTHING YOU NEED TO KNOW FROM HOW TO CHANGE YOU MAC ADDRESS MANUALLY OR WITH R ...,0.11469851758620693 BTC,World,WORLDWIDE,4.94/5,
ucard,Information/Guides,MAKIN COLD HARD CASH ASAP~BEST CARDER GUIDE,http://agorahooawayyfoe.onion/p/GvNKUTmP05   Here is the most extensive detailed and thorough CARDERS holy grail written by Alpha02.  For those new to this game  alpha02 is a moderator over at T ...,0.2085743514705882 BTC,,,5.00/5,
fake,Information/Guides,How to use a trial program forever without activation,How to use a trial program forever without activation,0.031509442968749975 BTC,,,4.782/5,
Hackyboy,Information/Guides,HOW SPY ANY SMARTPHONE,This tutorial explain to you an easy method to spy any smartphones.    With this method you can :  - Track GPS locations  - Record text messages (SMS  iMessage  WhatsApp)  - Log Calls deta ...,0.037335334868421055 BTC,,,4.92/5,
fake,Information/Guides,USA Non VbV Bin's list,USA Non VbV Bin's list  VbV mean Verified by Visa and is a security system created to protect Visa cards against online fraud.This mean that the system affect those of you which work out cvv in di ...,0.03129342976377952 BTC,,,4.782/5,
fake,Information/Guides,How to make a girl squirt,How to make a girl squirt  There are many steps which describe the process about how to make a girl squirt  but all is needed are fingers and oral job. The best advice is to try with exploration i ...,0.03119591682170542 BTC,,,4.782/5,
fake,Information/Guides,Cheating the System PayPal,Cheating the System PayPal  TUTORIAL    I would like to tell you how to cheat SHOPS or other stores where they use PayPal.  To begin to briefly tell what the topic:  1) Interest is how it is p ...,0.028110510839694652 BTC,,,4.782/5,
fake,Information/Guides,Dealing with Law Enforcement,Dealing with Law Enforcement  TUTORIAL,0.02184466761904762 BTC,,,4.782/5,
fake,Information/Guides,carding with cvv2,CARDING Tutorial : With CVV2 In this tutorial   i will teach you the terms “carding”   “scamming”   “cvv2″ etc. I’ll also tell some tricks for sites such as ebay.com   ebay.co.uk   actually just eb ...,0.02187699449612404 BTC,,,4.782/5,
RastainPeace,Information/Guides,BUY BITCOIN WITH CC 2014,HOW TO BUY BITCOIN EAST AND FAST NEW 2014!,0.027209846666666666 BTC,,,4.94/5,
optiman,Information/Guides,Homemade C-4 Guide - Paladin Press,Guide to make homemade c4.,0.011438306666666667 BTC,USA,Worldwide,5.00/5,
fake,Information/Guides,Complete MDMA synthese,chapters: 1 Distillation of sassafras oil. 2 Isomerization of safrole 3 Epoxidation reaction via peracetic acid 4 Benzoquinone wacker oxidation (safrole --> MDP2P) 5 Al/nitromethane/HgCl2/MDP2P  ...,0.016410435677966104 BTC,,,4.782/5,
fake,Information/Guides,I F YOU ' RE ACCUSED OF A CRIME,W H A T Y O U S H O U L D K N O W I F Y O U ' RE  A C C U S E D O F A C R I M E  TABLE OF CONTENTS  INTRODUCTION . . . . . . . . . . . . . . . . . . . . . . . . . . 6 CHOOSING A CRIMINAL LAWYE ...,0.025205231472868236 BTC,,,4.782/5,
fake,Information/Guides,MEGALIST OF CEX.IO USERNAMES AND EMAILS,MEGALIST OF CEX.IO USERNAMES AND EMAILS,0.04912365598290599 BTC,,,4.782/5,
fake,Information/Guides,★ ★ ★ 200$ DAILY WITH AUTOPILOT - 100% WORKING OR I REFUND ★ ★ ★,★ ★ ★  HOW TO MAKE 150-200 USD DAILY WITH AUTOPILOT  IN DEEPT TUTORIAL  NO MONEY HAVE TO BE INVESTED  9 PAGES GUIDE  100% WORKING OR I REFUND  ★ ★ ★   --------------------------------- ...,0.08486358972972975 BTC,,,4.782/5,
fake,Information/Guides,CASHOUT CC'S TO BANK ACCOUNT,CASHOUT CC'S TO BANK ACCOUNT  NEEDED ITEMS: 1. A Good Website cloned or Properly Setup 2. Domain registered email 3. Merchant Account 4. Dead Fullz : not including CC details just DOB and SSN  ...,0.031662047812500024 BTC,,,4.782/5,
fake,Information/Guides,STEROID CYCLES,A DETAILED LIST OF ANABOLIC STEROID CYCLES + POST CYCLES   INCLUDING:  Testosterone Base Cycle - Newbie  Solid Light Cycle - Newbie  Solid Light Cycle II - Beginner  Intermediate Cycle  Int ...,0.03279893075630251 BTC,,,4.782/5,
fake,Information/Guides,How Cashiers Check For Fraud,Bank Instruction for a POS-Cashier (Operator),0.01630405721311476 BTC,,,4.782/5,
passman,Information/Guides,How To Successfully Card Walmart,How To Successfully Card Walmart.  This is a step by step guide on how to successfully card Walmart. The guide also dives into the Walmart security system so you will understand better of how to ap ...,0.04705333433070868 BTC,,,4.946/5,
passman,Information/Guides,BE TOTALY ANONYMOUS NOOB GUIDE (VPN SOCKS DNS....) MUST READ,EBOOK PDF 34 PAGES  Index Introduction So how secure is encryption? • SSL encryption weakness • The importance of end-to-end encryption • Metadata Use Foss Software Pay for stuff anonymously ...,0.03101820320895524 BTC,,,4.946/5,
passman,Information/Guides,Counterfeit $20 Templates + 2 Detailed Guides,Counterfeit $20 - PSD Templates + 2 detailed Guides  Things you will learn:  Kind of printer needed Green UV strip Color shifting ink Aging/antiquing the bills after all printing is completed  ...,0.09828180489051089 BTC,,,4.946/5,
fake,Information/Guides,STEAL PEOPLE INFORMATIONS,To start off this book  I’m sure most of you know what doxing is  otherwise you wouldn’t have purchased this  but if you didn’t  doxing is basically gathering people’s information. Information suc ...,0.03316038176991151 BTC,,,4.782/5,
funnyreeferman,Information/Guides,Complete Marijuana Growers Edition,All you need to know about Growing Marijuna   Guides about - Indoor Growing - Outdoor Growing - Hydroponics  - Hash making - THC extraction   and much more  get this great Edition now for ...,0.002490674642857142 BTC,Internet,,4.87/5,
fake,Information/Guides,HOW TO MAKE AN ANONYMOUS PAYPAL ACCOUNT,HOW TO MAKE AN ANONYMOUS PAYPAL ACCOUNT   tutorial,0.0168470123853211 BTC,,,4.782/5,
fake,Information/Guides,REFERRAL SYSTEM CARDING TUTORIAL,REFERRAL SYSTEM CARDING TUTORIAL  how to take advantage from one sites vulnerable referral system Noob friendly  with pictures to better explain the process. This is a very easy carding method an ...,0.03232500976000001 BTC,,,4.782/5,
fake,Information/Guides,CVV ssn dob + Background Check & Credit Report,i will tell you who can give you a reliable CVV ssn dob + Background Check & Credit Report service   SSN & DOB- $9.30 USD NOTICE: In most cases  subjects born after 1983  aged-30 maybe un-salvage ...,0.029824682068965522 BTC,,,4.782/5,
fake,Information/Guides,"The ""You Pay"" PayPal Classifieds Scam","The ""You Pay"" PayPal Classifieds Scam  This listing is currently available.  The ""You Pay"" PayPal Classifieds Scam This method in short involves you tricking two marks into using PayPal via cla ...",0.02538265503937009 BTC,,,4.782/5,
fake,Information/Guides,FACEBOOK HACKING  NOOB FRIENDLY,how to enter into other people facebook accounts,0.030401628461538457 BTC,,,4.782/5,
fake,Information/Guides,The Secrets of Credit Repair,The Secrets of Credit Repair  Guide to Real Credit Repair,0.022174958837209324 BTC,,,4.782/5,
fake,Information/Guides,50 Ways To Succeed - Make Money,50 Ways To Succeed - Make Money,0.009987120250000005 BTC,,,4.782/5,
fake,Information/Guides,HOW NOT TO GET FUCKED BUYING ILLEGAL ITEMS ON TOR,A GUIDE TO BUYING ILLEGAL ITEMS ON TOR  How Not To Get Fucked By The Marketplace You Buy From  How Not To Get Fucked By Shared Addresses And Mixers  How Not To Get Fucked By The Vendor  How N ...,0.022541705000000016 BTC,,,4.782/5,
MrSunshine,Information/Guides,Bunk Buster Pro  + Multi Drug Test Kit,This version has Both Marquis Reagent and Mandelin Reagent and charts Test over 40 different drugs with this test kit that provides over 50 tests  and a color chart  giving 5 second color indicators ...,1.0221878272222225 BTC,USA,,4.72/5,Average price may be skewed outliar > .5 BTC found
GetBTC,Information/Guides,65 Tutorials and Documents - Carding and Fraud MEGAPACK,I am now selling this carding and fraud megapack which contains a massive 65 guides over 230 pages with guides  methods  tutorials and documents on carding  dumps  paypal  ID's - you name it  it's in ...,0.019172877078651677 BTC,,,~5/5,
fake,Information/Guides,Cloning Credit Cards,A combined pre-play and downgrade attack on EMV Contactless  Recent roll-outs of contactless payment infrastructures – particularly in Austria and Germany – have raised concerns about the securit ...,0.029996134695652172 BTC,,,4.782/5,
secretsquirrel2,Information/Guides,Homemade Silencers,build your own custom silencer from scratch using easy to find materials  step by step,0.00415549 BTC,,,~5/5,
fake,Information/Guides,HOW TO SHIP DRUG,HOW TO SHIP DRUGS   GUNS AND OTHER SHIT. STEALTH THAT WORKS!  A VERY NIVE GUIDE  A MUST HAVE FOR ALL THE VENDORS,0.04380639787037038 BTC,Torland,,4.782/5,
fake,Information/Guides,how to card and not get caught,how to card and not get caught  tutorial,0.0279753125 BTC,,,4.782/5,
fake,Information/Guides,Guide to Online Poker Cheating,The Definitive Guide to Online Poker Cheating   find information about what peoples are cheating,0.028003289692307684 BTC,,,4.782/5,
fake,Information/Guides,Carding Online,Carding Online  tutorial,0.021787778992248073 BTC,,,4.782/5,
fake,Information/Guides,HACK PROOFING LINUX,Your Guide to Open Source Security • Step-by-Step Instructions for Deploying Open Source Security Tools • Hundreds of Tools & Traps and Damage & Defense Sidebars  Security Alerts  and Exercises!  ...,0.016400260448717945 BTC,,,4.782/5,
Hackyboy,Information/Guides,Ultimate collection of carding guides,Ultimate collection of carding guides  Essentials guides you need before carding.    This collection contains :     1) 100% successful Bank transfers.txt  2) 7 Reasons a Credit Card is b ...,0.038432174342105295 BTC,EU,,4.92/5,
Hackyboy,Information/Guides,LIST OF CARDABLE MMO + CURRENCIES,FRESH List of cardable MMORPG with currencies : US and EU,0.03682724064102564 BTC,,,4.92/5,
fake,Information/Guides,Securing Iphone   Ipad -TUTORIAL,Securing Iphone   Ipad -TUTORIAL,0.02786973240310077 BTC,Torland,,4.782/5,
Hackyboy,Information/Guides,Make 500£-1000£ with BETFAIR : NEW METHOD,To use it  you need :     - UK PAYPAL WITH BANK ATTACH CONNECTED  - 1 BETFAIR ACCOUNT  - VPN  - SOCKS 5,0.10487624196969703 BTC,Torland,,4.92/5,
secretsquirrel2,Information/Guides,Techniques of Silent Killing,This book will teach you the most effective way to kill silently  using melee weapons or your own bare hands!,0.00415549 BTC,,,~5/5,
FakeMarket,Information/Guides,The Essential Underground Handbook PDF,Last but not least is the most important resource you can access and you’ll get all 229 pages when you purchase our package.   This underground resource extravaganza is not available in bookstores. ...,0.03998491195876289 BTC,Torland,,4.96/5,
fake,Information/Guides,How to profit illegally from Bitcoin,How to profit illegally from Bitcoin … cybercrime and much more,0.018751861461538448 BTC,,,4.782/5,
fake,Information/Guides,★ ★ CARDING WITH YOUR SMARTPHONE - IF NOT WORK I REFUND ★ ★,HOW TO CASHOUT CC TO IBAN THROUGH YOUR SMARTPHONE  UNIQUE METHOD  RELEASED ON JULY 2014  WHAT YOU NEED:  - 2 SMARTPHONES ( ANDROID OR IPHONE ) - 2 POLISH SIM CARDS ( SOURCE IS DESCRIBED IN THE ...,0.11801248419047622 BTC,,,4.782/5,
Hackyboy,Information/Guides,Carding bases Guide,It's a big guide with all you need to carding online.    This guide cover :     - Online Carding  - Carding while on the job  - Carding Instore  - Trashing  - Phishing over the phone ...,0.04909137316455698 BTC,,,4.92/5,
optiman,Information/Guides,Collection of 10 eBooks that will help you with girls - BEST OFFER!,BEST OFFER!!!  This list is for you guys to help you to get girls and keep them satisfied in bed ;) collection of 10 eBooks that we find very useful ... the eBooks are: 1.Double your Dating 2.T ...,0.05229193196261682 BTC,Internet,,5.00/5,
fake,Information/Guides,Bank Transfers for Beginners,Bank Transfers for Beginners    GUIDE,0.021922748110236236 BTC,,,4.782/5,
fake,Information/Guides,skimming without a skimmer,The joys of NFC  or skimming without a skimmer,0.018674632538461543 BTC,,,4.782/5,
fake,Information/Guides,How To Be An International Fugitive,How To Be An International Fugitive,0.01566398720930232 BTC,,,4.782/5,
Hackyboy,Information/Guides,French Guide : Le carding de A à Z,Contenu du guide :     -Le carding c'est quoi ?  -Les préparatifs  -Se mettre anonyme a 100%  -Les cartes bancaires  -La commande  -Faire un drop de qualité  (techniques perso dévoi ...,0.08947381500000004 BTC,Torland,,4.92/5,
fake,Information/Guides,EWHORING FOR DUMMIES,How To eWhore For Dummies  Ever watch me on my livestream and see the money I would make? Hundreds of dollars flowing into my paypal and all you could do was beg and ask how did I do it? Now yo ...,0.027993779923076917 BTC,,,4.782/5,
fake,Information/Guides,FIREFOX SETUP FOR EXTREME PRIVACY,FIREFOX SETUP FOR EXTREME PRIVACY  TUTORIAL,0.04680468625954199 BTC,Torland,,4.782/5,
fake,Information/Guides,Keep the NSA Out of Your Computer,Keep the NSA Out of Your Computer,0.028200151328125 BTC,,,4.782/5,
fake,Information/Guides,HOW TO GET UNLIMITED PHONE NUMBERS,HOW TO GET UNLIMITED PHONE NUMBERS   TUTORIAL Get any phone number you want that you can use!** its private number and unique you're the only one with that number! Receive verification sms  auto r ...,0.048880432148760325 BTC,,,4.782/5,
fake,Information/Guides,Installing Tails LiveUSB with a Persistent Volume.,Installing Tails LiveUSB with a Persistent Volume.  TUTORIAL,0.02804407275590551 BTC,,,4.782/5,
Hackyboy,Information/Guides,How purchase Bitcoins with CC,6 methods to purchase BTC with CC.    Includes :     - poker  - paypal  - DeadTedSteven's Fence Method  - sim cards  - Forex  - Moneygram,0.048871353670886075 BTC,,,4.92/5,
fake,Information/Guides,GET ANYTHING FOR FREE FROM EBAY,HOW TO GET ANYTHING FOR FREE FROM EBAY  4 TESTED WORKING METODS,0.07760247279069765 BTC,,,4.782/5,
fake,Information/Guides,MONEY LAUNDERING RED FLAGS WIRE TRANSFERS,MONEY LAUNDERING RED FLAGS WIRE TRANSFERS This document lists various transactions and activities that may indicate potential money laundering. While not all-inclusive  the list does reflect ways  ...,0.021866075348837208 BTC,,,4.782/5,
fake,Information/Guides,Google dorks to get creditcards and bank accounts,I will offer you a lists of keywords to use on search engines to find credit cards databases directly on you browser  Here are examples of what result this will give you   those are old stuff i got ...,0.02929445516949151 BTC,,,4.782/5,
fake,Information/Guides,How To Get Illegal Items Through the Airport - TUTORIAL,How To Get Illegal Items Through the Airport - TUTORIAL   Disclaimer; There’s nothing here that the would-be terrorist doesn’t already know. There’s nothing here that isn’t possible to find elsew ...,0.022776688677685966 BTC,,,4.782/5,
fake,Information/Guides,U.S LOAN FRAUD TUTORIAL,U.S LOAN FRAUD TUTORIAL  how to take loans in other peoples names and profit from it. include a paystub  bank statements and recent history on it that will be useful.,0.09221916399999999 BTC,,,4.782/5,
fake,Information/Guides,LOTTERY SCAM tutorial,LOTTERY SCAM tutorial  Requires leads and a burner phone along with simply reading a script.  Profit ranges from $1 400 to $27 000 and depends on how much you charge .,0.04894621152542373 BTC,,,4.782/5,
passman,Information/Guides,(Two Guides) Easy Mephedrone 4mmc Synthesis,These are two guides that explain how to synthesize Mephedrone (4mmc) with household or easily accessible chemicals and items in two different ways.  The instructions were written specifically for  ...,0.05214157044642859 BTC,,,4.946/5,
fake,Information/Guides,Defeating Electromagnetic Door Locks,Defeating Electromagnetic Door Locks,0.028461495234374995 BTC,,,4.782/5,
fake,Information/Guides,PGP TUTORIAL FOR NOOBS,PGP TUTORIAL FOR NOOBS  STEP BY STEP,0.029412739583333326 BTC,,,4.782/5,
passman,Information/Guides,How To Spread Your RAT  Bot  Trojan Guide,How To Spread Your RAT  Bot  Trojan Guide  This is a step by step guide with the help of pictures that will teach you how to spread your trojan very fast and easily.  In this guide you will learn ...,0.062388781603053445 BTC,,,4.946/5,
fake,Information/Guides,Say goodbye to burner phones,Many people are wasting money on prepaid cell phones and SIM cards. This is a good method  but there is a more effective trick  and it allows you to receive calls 24/7 while being 100% untraceable. ...,0.031680290472440926 BTC,,,4.782/5,
passman,Information/Guides,Bank Transfers For Beginners,Bank Transfers for Beginners  How to cashout stolen bank accounts with bank transfers,0.061871693955223885 BTC,,,4.946/5,
fake,Information/Guides,INCOME TAX RETURNS FRAUD,THE INCOME TAX RETURN FRAUD EXPLAINED,0.04744402859374999 BTC,,,4.782/5,
fake,Information/Guides,CASHOUT CC OR PAYPAL INTO BTC,HOW TO CASHOUT CC OR PAYPAL INTO BTC   TUTORIAL 2014,0.0756632850505051 BTC,,,4.782/5,
fake,Information/Guides,How to access I2p sites,How to access I2p sites & Use TheMarketplace.i2p  AMAZING TUTORIAL !,0.023070017241379318 BTC,,,4.782/5,
fake,Information/Guides,COUNTERFITTING MONEY MEGA PACK,COUNTERFIT MONEY MEGA PACK   ALL IN ONE!  CONTENTS:  -4 METODS FOR USD  -TEMPLATES   AND TIPS GOOD FOR ANY MONEY ( USD GBP  EUR ETC) -COUNTERFIT OPERATION TUTORIAL -HOW TO PASS COUNTERFITT MON ...,0.09551132504273499 BTC,,,4.782/5,
fake,Information/Guides,100gb  RUSSIAN CLOUD STORAGE FOREVER,100gb RUSSIAN CLOUD STORAGE FOREVER FREE   INCLUDED ANDROID APP  it is not in english language.  No speed limits  Multiple pipes nationwide  with smart CDN speed enhancement. Up to 25GB per fil ...,0.025282453448275868 BTC,,,4.782/5,
passman,Information/Guides,BINS THat Bypass VBV  3D Security,After purchase you will receive a list of BINS that bypass VBV and 3D security. If you don't know what a BIN is.... it is the first 6 numbers of a credit card number.  This list will save you a lot ...,0.03120285631578947 BTC,,,4.946/5,
fake,Information/Guides,HOW TO GAIN 10K+ FACEBOOK FAN PAGE LIKES,HOW TO GAIN 10K+ FACEBOOK FAN PAGE LIKES    NOOB FRIENDLY  EASY AND FAST,0.02631965750000001 BTC,,,4.782/5,
passman,Information/Guides,Slot Scam EMP Generator Schematics + Build Guide,This device's magnetic output is a fraction of a Tesla  which isn't nearly enough to destroy most electronic devices. However  this circuit can be modified to have a much greater output and it serves ...,0.0624543177037037 BTC,,,4.946/5,
captainkirk,Information/Guides,One Pot Shake and Bake Meth Cooking,"The ""One-Pot"" or ""Shake-and-Bake"" methamphetamine (meth) production method has led to the decrease in the number of ""traditional"" clandestine drug labs in the United States. One-pot or shake-and-bake ...",0.003666383043478258 BTC,Internet,Everywhere,4.988/5,
fake,Information/Guides,HACKING FORUMS MEGA LIST,A MEGALIST OF HACKING FORUMS OF THE WORLD WIDE WEB  ENGLISH INDONESIAN FRENCH TURKISH RUSSIAN GERMAN ARABIC SPANISH CHINESE AND MORE!,0.029864460260869558 BTC,,,4.782/5,
passman,Information/Guides,Guide to ATO (Account Take Over Fraud),Guide to ATO (Account Take Over Fraud),0.03356346545454547 BTC,,,4.946/5,
passman,Information/Guides,Hack Any Wi-Fi,This listing is for a pack of Wi-Fi hacking tools.,0.03120954507575757 BTC,,,4.946/5,
fake,Information/Guides,SECURITY BIG PACK,contents: - INTRODUCTION TO SECURE COMMUNICATION – TOR  HTTPS  SSL - PGP  TAILS  VIRTUAL BOX - PGP CONTINUED - WHOLE DISK ENCRYPTION AND FILE SHREDDING JAVASCRIPT VULNERABILITIES AND REMOVING PE ...,0.04908491333333333 BTC,,,4.782/5,
fake,Information/Guides,FREE AMAZON GIFT CARDS,TUTORIAL : HOW TO GET FREE AMAZON GIFT CARDS + How to Card Amazon Gift Certs + How to make your own Amazon.com clean sale service or obtain clean Amazon Gift Cards,0.03325310217391302 BTC,,,4.782/5,
fake,Information/Guides,HOW SOCIAL SECURITY SYSTEM WORK + FULL LIST OF PREFIXES,HOW SOCIAL SECURITY SYSTEM WORK + FULL LIST OF PREFIXES :  EXAMPLES:  001-XX-XXXX - New Hampshire 002-XX-XXXX - New Hampshire 003-XX-XXXX - New Hampshire 004-XX-XXXX - Maine 005-XX-XXXX - Ma ...,0.023812965044247795 BTC,,,4.782/5,
